"0","Last Updated: March 2015 ","Policy Change"
"28"," Microsoft account Microsoft account is a service that lets you sign in to Microsoft products, web sites and services, as well as those of select Microsoft partners. When you create a Microsoft account, we ask you to provide certain information. When you sign in to a site or service using your Microsoft account, we collect certain information in order to verify your identity on behalf of the site or service, to protect you from malicious account usage and to protect the efficiency and security of the Microsoft account service. We also send some of this information to sites and services that you sign in to with your Microsoft account. ","First Party Collection/Use"
"28"," Microsoft account Microsoft account is a service that lets you sign in to Microsoft products, web sites and services, as well as those of select Microsoft partners. When you create a Microsoft account, we ask you to provide certain information. When you sign in to a site or service using your Microsoft account, we collect certain information in order to verify your identity on behalf of the site or service, to protect you from malicious account usage and to protect the efficiency and security of the Microsoft account service. We also send some of this information to sites and services that you sign in to with your Microsoft account. ","Third Party Sharing/Collection"
"29","We use demographic information - gender, country, age and postal code but not your name or contact information - from your Microsoft account to provide personalized ads to you. You may opt out of receiving targeted ads from Microsoft Advertising by visiting our opt-out page. ","First Party Collection/Use"
"29","We use demographic information - gender, country, age and postal code but not your name or contact information - from your Microsoft account to provide personalized ads to you. You may opt out of receiving targeted ads from Microsoft Advertising by visiting our opt-out page. ","User Choice/Control"
"30","To view additional details about Microsoft account, including how to create and use a Microsoft account, how to edit account information, and how we collect and use information relating to a Microsoft account, please click on Learn More. ","Introductory/Generic"
"31"," Other Important Privacy Information Learn more about Non-Microsoft services that use Bing search Protecting the security of personal information Where we store and process information Changes to our privacy statements How to contact us","Other"
"0","Last Updated: March 2015 ","Introductory/Generic"
"7","Bing provides search services to select partners and its users. Some examples include Yahoo! and Nokia. In order to provide these services, Bing services receive certain search related information from these partners that may include date, time, IP address, a unique identifier and other search related data. ","Third Party Sharing/Collection"
"14"," Accessing Your Personal Information and Search History When using a web browser, the Bing preferences page allows you to manage your search preferences, such as search history, search language settings, and saved interests or favorites that may be used in Microsoft services when signed in using your Microsoft account. These settings allow you to customize your search experience and provide features that are most relevant to you and your interests. ","First Party Collection/Use"
"15","For Bing Search in your browser, using the search terms you enter and the results you click, search history provides an easy way to revisit the sites and searches you've used before. You may clear your search history from appearing on the site by following the steps provided here or by going to the Bing preferences page noted above. Clearing your history removes it from the Search History service and prevents that history from being displayed on the site, but does not delete information from our standard search logs, which are retained and anonymized as described in the Collecting Your Information Section. ","First Party Collection/Use"
"16"," Microsoft Services Powered by Bing Microsoft services and apps that are powered by Bing services, such as MSN and Bing apps, Cortana, and Microsoft mapping services, use Bing search to provide you with enhanced features and convenient ways to access information such as weather forecasts, traffic reports or internet search results (not all Microsoft applications or Bing features are available in every country). These Bing-powered services are available on a variety of platforms including apps preinstalled with Windows, apps created for the iOS, apps in the Microsoft Store, and as browser plug-ins and toolbars. ","Third Party Sharing/Collection"
"18","Some Bing-powered services, such as Cortana and MSN apps, provide you with an enhanced experience when you connect these services to your Microsoft account. When you log in and connect these Bing-powered services to your Microsoft account, Microsoft may use your information to personalize these and other Microsoft services and apps. Personalization provides you with a customized experience to provide features that are most relevant to you and your interests. ","Third Party Sharing/Collection"
"20","Also, if you connect a Bing Service or app to another service that has ""Check-in"" or ""Reminder"" features, such as Facebook or Foursquare, when you use these features Microsoft will store the location of your device along with your Microsoft account information. ","Third Party Sharing/Collection"
"30","To view additional details about Microsoft account, including how to create and use a Microsoft account, how to edit account information, and how we collect and use information relating to a Microsoft account, please click on Learn More. ","User Access, Edit and Deletion"
"31"," Other Important Privacy Information Learn more about Non-Microsoft services that use Bing search Protecting the security of personal information Where we store and process information Changes to our privacy statements How to contact us","Introductory/Generic"
"3","We also use web beacons to help deliver cookies and compile analytics. These may include third-party web beacons, which are prohibited from collecting your personal information. ","Third Party Sharing/Collection"
"6","We store search terms (and the cookie IDs associated with search terms) separately from any account information that directly identifies the user, such as name, e-mail address, or phone numbers. We have technological safeguards in place designed to prevent the unauthorized correlation of this data and we remove the entirety of the IP address after 6 months, cookies and other cross session identifiers, after 18 months. ","First Party Collection/Use"
"13","If your browser is enabled to allow pages to pre-load in the background for faster performance, Bing may use this functionality and your browser may preload page(s) in the background for faster results. When your browser loads a page in the background, it will have the same effect as if you visited that page, including sending the Bing results page URL (which may contain your search query) and downloading any cookie files that page may set. You can delete cookies using your browser settings. Click here for more information on how to delete cookies and to control pre-loading pages in Internet Explorer 11. ","First Party Collection/Use"
"31"," Other Important Privacy Information Learn more about Non-Microsoft services that use Bing search Protecting the security of personal information Where we store and process information Changes to our privacy statements How to contact us","Privacy contact information"
"31"," Other Important Privacy Information Learn more about Non-Microsoft services that use Bing search Protecting the security of personal information Where we store and process information Changes to our privacy statements How to contact us","Practice not covered"
